#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
34642		SLEIDINGE	Sleidinge	51.1333333	3.6833333		9940					100600000	7	35276	
34643		SLIJPE	Slijpe	51.15	2.85		8433					100600000	7	35404	
34644		SLINS	Slins	50.7333333	5.5666667		4450					100600000	7	35559	
35245		SLUIZEN	Sluizen	50.7666667	5.5333333		3700					100600000	7	35244	
34646		SMEEREBBE-VLOERZEGEM	Smeerebbe-Vloerzegem	50.8166667	3.9166667		9506					100600000	7	35251	
35240		SMEERMAAS	Smeermaas	50.8833333	5.6666667		3620					100600000	8	33657	
34647		SMETLEDE	Smetlede	50.9666667	3.9166667		9340					100600000	7	35254	
34648		SMUID	Smuid	50.0166667	5.2666667		6890					100600000	7	35641	
34649		SNAASKERKE	Snaaskerke	51.1833333	2.9333333		8470					100600000	7	35402	
34650		SNELLEGEM	Snellegem	51.1666667	3.1166667		8490					100600000	7	35382	
34651		SOHEIT-TINLOT	Soheit-Tinlot	50.4833333	5.3666667		4557					100600000	7	35538	
34652		SOHIER	Sohier	50.0666667	5.0666667		6920					100600000	7	35647	
673		SOIGNIES	Soignies									100500000	5	639	
35501		SOIGNIES	Soignies	50.5690476	4.0690476		7060,7061,7062,7063					100600000	6	673	
34653		SOIGNIES	Soignies	50.5833333	4.0666667		7060					100600000	7	35501	
34654		SOIRON	Soiron	50.5833333	5.7833333		4861					100600000	7	35583	
34655		SOLRE-SAINT-GERY	Solre-Saint-Géry	50.2	4.2333333		6500					100600000	7	35502	
34656		SOLRE-SUR-SAMBRE	Solre-sur-Sambre	50.3	4.1333333		6560					100600000	7	35505	
35689		SOMBREFFE	Sombreffe	50.5083333	4.6		5140					100600000	6	686	
34657		SOMBREFFE	Sombreffe	50.5166667	4.6		5140					100600000	7	35689	
35671		SOMME-LEUZE	Somme-Leuze	50.2962962	5.3166666		5377					100600000	6	685	
34658		SOMME-LEUZE	Somme-Leuze	50.3333333	5.3666667		5377					100600000	7	35671	
